Date of change,Cigarettes ad valorem (%),Specific £ per 1000 sticks,Cigars £ per kg,HRT £ per kg,Other £ per kg
1978-01-01,30.0,9.0,20.94,20.28,16.09
1979-08-13,21.0,11.77,20.94,20.28,16.09
1980-03-29,21.0,13.42,25.6,22.6,17.4
1981-03-14,21.0,18.04,34.29,29.56,21.92
1981-07-08,21.0,19.03,35.91,30.96,22.96
1982-03-12,21.0,20.68,39.0,33.65,24.95
1983-03-18,21.0,21.67,40.85,35.4,24.95
1984-03-16,21.0,24.97,47.05,40.6,24.95
1985-03-22,21.0,26.95,47.05,43.73,24.95
1986-03-21,21.0,30.61,47.05,49.64,24.95
1988-03-18,21.0,31.74,48.79,51.48,24.95
1990-03-23,21.0,34.91,53.67,56.68,24.95
1991-03-19,21.0,40.15,61.72,65.12,28.69
1992-03-10,21.0,44.32,67.89,71.63,29.98
1993-03-16,20.0,48.75,72.3,76.29,31.93
1993-11-30,20.0,52.33,77.58,81.86,34.26
1994-11-29,20.0,55.58,82.56,85.94,36.3
1995-01-01,20.0,57.64,85.61,85.94,38.64
1995-11-28,20.0,62.52,91.52,85.94,40.24
1996-11-26,21.0,65.97,98.02,87.74,43.1
1997-12-01,21.0,72.06,105.86,87.74,46.55
1998-12-01,22.0,77.09,114.79,87.74,50.47
1999-03-09,22.0,82.59,122.06,87.74,53.66
2000-03-21,22.0,90.43,132.33,95.12,58.17
2001-03-07,22.0,92.25,134.69,96.81,59.21
2002-04-17,22.0,94.24,137.26,98.66,60.34
2003-04-09,22.0,96.88,141.1,101.42,62.03
2004-03-17,22.0,99.8,145.35,104.47,63.9
2005-03-16,22.0,102.39,149.12,107.18,65.56
2006-03-22,22.0,105.1,153.07,110.02,67.3
2007-03-21,22.0,108.65,158.24,113.74,69.57
2008-03-12,22.0,112.07,163.22,117.32,71.76
2008-11-24,24.0,112.07,169.74,122.01,74.63
2009-04-22,24.0,114.31,173.13,124.45,76.12
2010-03-24,24.0,119.03,180.28,129.59,79.26
2011-03-23,16.5,154.95,193.29,151.9,84.98
2012-03-21,16.5,167.41,208.83,164.11,91.81
2013-03-20,16.5,176.22,219.82,172.74,96.64
2014-03-19,16.5,184.1,229.65,180.46,100.96
2015-03-18,16.5,189.49,236.37,185.74,103.91
2016-03-16,16.5,196.42,245.01,198.1,107.71
2017-03-08,16.5,207.99,259.44,209.77,114.06
