Year,Standard,Highera,Reducedb,Registration threshold
1973-74,10,—,—,"£5,000"
1974-75,8,25,—,"£5,000"
1975-76,8,25,—,"£5,000"
1976-77,8,12.5,—,"£5,000"
1977-78,8,12.5,—,"£7,500"
1978-79,8,12.5,—,"£10,000"
1979-80,15,—,—,"£10,000"
1980-81,15,—,—,"£13,500"
1981-82,15,—,—,"£15,000"
1982-83,15,—,—,"£17,000"
1983-84,15,—,—,"£18,000"
1984-85,15,—,—,"£18,700"
1985-86,15,—,—,"£19,500"
1986-87,15,—,—,"£20,500"
1987-88,15,—,—,"£21,300"
1988-89,15,—,—,"£22,100"
1989-90,15,—,—,"£23,600"
1990-91,15,—,—,"£25,400"
1991-92,17.5,—,—,"£35,000"
1992-93,17.5,—,—,"£36,600c"
1993-94c,17.5,—,—,"£37,600d"
1994-95,17.5,—,8,"£45,000d"
1995-96,17.5,—,8,"£46,000d"
1996-97,17.5,—,8,"£47,000d"
1997-98,17.5,—,5,"£48,000e"
1998-99,17.5,—,5,"£50,000"
1999-00,17.5,—,5,"£48,000"
2000-01,17.5,—,5,"£52,000"
2001-02,17.5,—,5,"£54,000"
2002-03,17.5,—,5,"£55,000"
2003-04,17.5,—,5,"£56,000"
2004-05,17.5,—,5,"£58,000"
2005-06,17.5,—,5,"£60,000"
2006-07,17.5,—,5,"£61,000"
2007-08,17.5,—,5,"£64,000"
2008-09,17.5f,—,5,"£67,000"
2009-10,15f,—,5,"£68,000"
2010-11,17.5,—,5,"£70,000"
2011-12,20,—,5,"£73,000"
2012-13,20,—,5,"£77,000"
2013-14,20,—,5,"£79,000"
2014-15,20,—,5,"£81,000"
2015-16,20,—,5,"£82,000"
2016-17,20,—,5,"£83,000"
2017-18,20,—,5,"£85,000"
2018-19,20,—,5,"£85,000"
2019-20,20,—,5,"£85,000"
2020-21,20,—,5g,"£85,000"
2021-22,20,—,5g,"£85,000"
2022-23,20,—,5,"£85,000"
2023-24,20,—,5,"£85,000"
