ICD-10 Diagnosis,ICD10 codes,Total: Admissions,Total: Attributable number,Total: Attributable percentage,Male: Admissions,Male: Attributable number,Male: Attributable percentage,Female: Admissions,Female: Attributable number,Female: Attributable percentage
All admissions,All admissions,A00-Y89,"12,223,212","506,100",4,"5,754,524","310,900",5,"6,468,688","195,200",3
All cancers,All cancers,C00-D48,"1,989,210","177,700",9,"984,594","119,500",12,"1,004,616","58,200",6
All respiratory diseases,All respiratory diseases,J00-J99,"741,518","156,200",21,"357,193","80,900",23,"384,325","75,300",20
All circulatory diseases,All circulatory diseases,I00-I99,"908,527","123,900",14,"531,246","87,800",17,"377,281","36,100",10
All diseases of the digestive system,All diseases of the digestive system,K00-K93,"1,784,195","19,900",1,"885,735","10,500",1,"898,460","9,400",1
Cancers which can be caused by smoking,"Trachea, Lung, Bronchus",C33-C34,"109,835","84,900",77,"55,689","47,400",85,"54,146","37,400",69
Cancers which can be caused by smoking,Upper Respiratory Sites,C00-C14,"25,558","15,800",62,"18,355","12,600",69,"7,203","3,200",44
Cancers which can be caused by smoking,Oesophagus,C15,"33,715","21,500",64,"25,147","16,700",67,"8,568","4,700",55
Cancers which can be caused by smoking,Larynx,C32,"4,435","3,400",77,"3,642","2,900",79,793,600,71
Cancers which can be caused by smoking,Cervical7,C53,"7,165",700,9,0,0,0,"7,165",700,9
Cancers which can be caused by smoking,Bladder,C67,"67,583","25,500",38,"51,747","21,100",41,"15,836","4,300",27
Cancers which can be caused by smoking,Kidney and Renal Pelvis,"C64-C66,C68","20,937","4,800",23,"13,854","4,300",31,"7,083",500,7
Cancers which can be caused by smoking,Stomach,C16,"21,605","4,200",20,"15,570","3,500",23,"6,035",700,11
Cancers which can be caused by smoking,Pancreas,C25,"32,714","6,700",21,"17,754","3,400",19,"14,960","3,300",22
Cancers which can be caused by smoking,Unspecified Site,C80,"7,778","2,500",32,"3,521","1,800",50,"4,257",700,18
Cancers which can be caused by smoking,Myeloid Leukaemia,C92,"50,377","7,800",15,"28,775","5,700",20,"21,602","2,000",9
Respiratory diseases which can be caused by smoking,Chronic Obstructive Lung Disease,J40-J43,"6,549","5,500",84,3381,"3,000",88,3168,"2,600",81
Respiratory diseases which can be caused by smoking,Chronic Airway Obstruction,J44,"132,243","99,900",76,61678,"47,400",77,70565,"52,500",74
Respiratory diseases which can be caused by smoking,"Pneumonia, Influenza",J10-J18,"271,240","50,800",19,134329,"30,500",23,136911,"20,200",15
Circulatory diseases which can be caused by smoking,Other Heart Disease,"I00-I09, I26-I51","354,414","44,000",12,198136,"30,900",16,156278,"13,100",8
Circulatory diseases which can be caused by smoking,Ischaemic Heart Disease,I20-I25,"250,183","50,300",20,170338,"37,300",22,79845,"13,000",16
Circulatory diseases which can be caused by smoking,Other arterial disease,I72-I78,"32,363","4,400",14,18415,"2,400",13,13948,"1,900",14
Circulatory diseases which can be caused by smoking,Cerebrovascular Disease,I60-I69,"110,690","15,700",14,57608,"9,400",16,53082,"6,300",12
Circulatory diseases which can be caused by smoking,Aortic Aneurysm,I71,"11,124","6,300",56,8398,"5,000",59,2726,"1,300",49
Circulatory diseases which can be caused by smoking,Atherosclerosis,I70,"16,743","3,200",19,11381,"2,700",24,5362,400,8
Diseases of the digestive system which can be caused caused by smoking,Stomach / Duodenal Ulcer,K25-K27,"21,692","9,200",42,11016,"5,200",47,10676,"4,000",38
Diseases of the digestive system which can be caused caused by smoking,Crohns Disease,K50,"70,020","8,400",12,32356,"4,300",13,37664,"4,000",11
Diseases of the digestive system which can be caused caused by smoking,Periodontal Disease / Periodonitis,K05,"6,422","2,300",36,2455,"1,000",39,3967,"1,300",34
Other diseases which can be caused by smoking,Age Related Cataract 45+,H25,"245,996","21,800",9,103462,"10,300",10,142534,"11,500",8
Other diseases which can be caused by smoking,Hip Fracture 55+,S720-S722,"68,253","6,300",9,20242,"1,900",10,48011,"4,400",9
Other diseases which can be caused by smoking,Spontaneous Abortion7,O03,"11,549",300,3,0,0,0,11549,300,3
