ONS / CCG code,,,"Commissioning region, region and CCG1",,,"Prescription items: All 
pharmacotherapies",Prescription items: Nicotine Replacement Therapies (NRT),Prescription items: Bupropion,Prescription items: Varenicline,"Prescription items per 1000 of the population: All 
pharmacotherapies",Prescription items per 1000 of the population: Nicotine Replacement Therapies (NRT),Prescription items per 1000 of the population: Bupropion,Prescription items per 1000 of the population: Varenicline
E38000001,,02N,"NHS Airedale, Wharfedale and Craven CCG",NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	3,363 "," 	2,280 ", 	45 ," 	1,038 ",21,14,0,6
E38000006,,02P,NHS Barnsley CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,211 ", 	812 , 	44 , 	355 ,5,3,0,1
E38000008,,02Q,NHS Bassetlaw CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire, 	360 , 	203 , 	64 , 	93 ,3,2,1,1
E38000018,,02W,NHS Bradford City CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	3,890 "," 	2,866 ", 	-   ," 	1,024 ",45,33,0,12
E38000019,,02R,NHS Bradford Districts CCG2,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	10,831 "," 	7,118 ", 	72 ," 	3,641 ",32,21,0,11
E38000025,,02T,NHS Calderdale CCG3,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire, 	375 , 	212 , 	36 , 	127 ,2,1,0,1
E38000044,,02X,NHS Doncaster CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire, 	529 , 	451 , 	24 , 	54 ,2,1,0,0
E38000052,,02Y,NHS East Riding of Yorkshire CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,156 ", 	690 , 	74 , 	392 ,4,2,0,1
E38000064,,03A,NHS Greater Huddersfield CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	3,803 "," 	2,091 ", 	80 ," 	1,632 ",15,8,0,7
E38000073,,03E,NHS Harrogate and Rural District CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,133 ", 	511 , 	40 , 	582 ,7,3,0,4
E38000085,,03F,NHS Hull CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	1,479 ", 	891 , 	69 , 	519 ,6,3,0,2
E38000119,,03H,NHS North East Lincolnshire CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	2,798 "," 	1,348 ", 	35 ," 	1,415 ",18,8,0,9
E38000121,,03J,NHS North Kirklees CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	4,216 "," 	2,168 ", 	27 ," 	2,021 ",22,11,0,10
E38000122,,03K,NHS North Lincolnshire CCG,NHS England North East and Yorkshire (Yorkshire and Humber),North East and Yorkshire," 	2,026 "," 	1,031 ", 	8 , 	987 ,12,6,0,6
