,Year,"Tobacco 
price
index (TPI)","Retail prices
index (RPI)
- all items","Tobacco price 
index relative to 
Retail price index 
(all items)","Real 
households' disposable 
income 
index (RHDI)2","Affordability 
of tobacco 
index3",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1987 4,100.1,101.9,98.2,100.0,101.8,,,,,,,,,,,,,,,,,,
,1988,103.4,106.9,96.7,105.1,108.7,,,,,,,,,,,,,,,,,,
,1989,106.4,115.2,92.4,110.1,119.2,,,,,,,,,,,,,,,,,,
,1990,113.6,126.1,90.1,114.1,126.7,,,,,,,,,,,,,,,,,,
,1991,129.9,133.5,97.3,116.0,119.2,,,,,,,,,,,,,,,,,,
,1992,144.2,138.5,104.1,119.0,114.3,,,,,,,,,,,,,,,,,,
,1993,156.4,140.7,111.2,122.2,109.9,,,,,,,,,,,,,,,,,,
,1994,168.2,144.1,116.7,124.5,106.7,,,,,,,,,,,,,,,,,,
,1995,179.5,149.1,120.4,128.0,106.3,,,,,,,,,,,,,,,,,,
,1996,191.5,152.7,125.4,131.2,104.6,,,,,,,,,,,,,,,,,,
,1997,205.6,157.5,130.5,134.6,103.1,,,,,,,,,,,,,,,,,,
,1998,223.3,162.9,137.1,135.4,98.8,,,,,,,,,,,,,,,,,,
,1999,248.9,165.4,150.5,141.1,93.8,,,,,,,,,,,,,,,,,,
,2000,270.4,170.3,158.8,148.8,93.7,,,,,,,,,,,,,,,,,,
,2001,285.1,173.3,164.5,153.2,93.1,,,,,,,,,,,,,,,,,,
,2002,293.7,176.2,166.7,157.2,94.3,,,,,,,,,,,,,,,,,,
,2003,304.1,181.3,167.7,159.0,94.8,,,,,,,,,,,,,,,,,,
,2004,315.0,186.7,168.7,162.4,96.3,,,,,,,,,,,,,,,,,,
,2005,328.7,192.0,171.2,164.7,96.2,,,,,,,,,,,,,,,,,,
,2006,343.4,198.1,173.3,166.4,96.0,,,,,,,,,,,,,,,,,,
,2007,361.6,206.6,175.0,170.0,97.1,,,,,,,,,,,,,,,,,,
,2008,377.6,214.8,175.8,168.4,95.8,,,,,,,,,,,,,,,,,,
,2009,392.6,213.7,183.7,169.9,92.5,,,,,,,,,,,,,,,,,,
,2010,422.6,223.6,189.0,168.8,89.3,,,,,,,,,,,,,,,,,,
,2011,469.1,235.2,199.4,164.3,82.4,,,,,,,,,,,,,,,,,,
,2012,509.0,242.7,209.7,167.1,79.7,,,,,,,,,,,,,,,,,,
,2013,548.2,250.1,219.2,169.2,77.2,,,,,,,,,,,,,,,,,,
,2014,589.9,256.0,230.4,171.1,74.3,,,,,,,,,,,,,,,,,,
,2015,622.8,258.5,240.9,179.9,74.7,,,,,,,,,,,,,,,,,,
,2016,653.5,263.1,248.4,179.4,72.2,,,,,,,,,,,,,,,,,,
,2017,692.0,272.5,253.9,178.5,70.3,,,,,,,,,,,,,,,,,,
,2018,743.1,281.6,263.9,181.5,68.8,,,,,,,,,,,,,,,,,,
,2019,786.1,288.8,272.2,183.2,67.3,,,,,,,,,,,,,,,,,,
